Kecamatan,Desa,Link
WATES,SUMBERAGUNG,https://docs.google.com/spreadsheets/d/1qpJUfl3OhYQ_rMrIdUpmcoQNqDK11qpo/edit
KUNJANG,TENGGER_LOR,https://docs.google.com/spreadsheets/d/1NTt51iLCYP9qu1ErXBICvOt75OZEHhKw/edit
WATES,PAGU,https://docs.google.com/spreadsheets/d/1-cVYN1A_tFXWhrXTipR2kTIOzEIIehU2/edit
WATES,TUNGE,https://docs.google.com/spreadsheets/d/169WkVlv74PQbAUVZbxIPPjoVaG8LqDpa/edit
KUNJANG,DUNGUS,https://docs.google.com/spreadsheets/d/1SDEh0drAxuw2lHoVMtNJpGYa70PjuVBg/edit
WATES,WONOREJO,https://docs.google.com/spreadsheets/d/19USSkrYeehf_AQv6YkzYFgEpxya2L2Uv/edit
KUNJANG,KAPAS,https://docs.google.com/spreadsheets/d/1XIBs2bsJTNEfPZeYfCsMrwKv2VoS6H8B/edit
WATES,TAWANG,https://docs.google.com/spreadsheets/d/1K1uoYY3g0iaTXf8oPA-WbpYLikoyDzBj/edit
KUNJANG,PARELOR,https://docs.google.com/spreadsheets/d/1amKKbaVVCW499POSmh_CQZT_mJonU9q7/edit
WATES,GADUNGAN,https://docs.google.com/spreadsheets/d/1Mp3ZxThfH0zeGh4waculT1jNr7_cEpdV/edit
KUNJANG,KUNJANG,https://docs.google.com/spreadsheets/d/1c8G37PhbkNwDKvvZGtIq9QWp_YZxTzic/edit
WATES,WATES,https://docs.google.com/spreadsheets/d/1PPPYEcH4FMkxgrZ02ccDcVuw8NmQYfge/edit
KUNJANG,KLEPEK,https://docs.google.com/spreadsheets/d/1eJapm0MGGjT_NsvhNzK6hIrQaZF5y7kF/edit
WATES,PLAOSAN,https://docs.google.com/spreadsheets/d/1VXNyhN7uakyKkRgbJ_9ox3813wr0tFhi/edit
WATES,KARANGANYAR,https://docs.google.com/spreadsheets/d/1g--LGf7wqZjSPZTWEl-vGFxfc5FzuEX7/edit
KUNJANG,BALONGJERUK,https://docs.google.com/spreadsheets/d/1fM8TduDFXgzBYV8s_41NV8bMYCug5OqG/edit
WATES,TEMPUREJO,https://docs.google.com/spreadsheets/d/1sigjU4wd83CSUZH4M8nLUnGu6fGmBblQ/edit
BANYAKAN,BANYAKAN,https://docs.google.com/spreadsheets/d/1mz4IRZ5iFQYbyA_QJErrOMqZ-fwf-BsU/edit
WATES,JAJAR,https://docs.google.com/spreadsheets/d/1v1E_Tz_pEpnnzAaHUCD6B9lyppchWKZO/edit
KUNJANG,KAPI,https://docs.google.com/spreadsheets/d/1x9zutLoPPSf4yTw0NOtqtooxvqYebZQz/edit
KANDAT,TEGALAN,https://docs.google.com/spreadsheets/d/1EW8R-A2Pjoe1syo6VOfzJxeTQpJl9bke/edit
KANDAT,RINGINSARI,https://docs.google.com/spreadsheets/d/1IG5rEC08Zvt1K-E7WMdz5jsT_47_UH0v/edit
TAROKAN,CENGKOK,https://docs.google.com/spreadsheets/d/1B-H5-1s9E5YEwbVqR7STXENQYgyLfA2U/edit
